state_name,parlimentary_constituency_name,assembly_constituency_name,nota_votes,candidate_name,party_name,votes_secured
Andhra Pradesh,Aruku ,Palakonda (ST),3736,KISHORE CHANDRA DEO,TDP,54056.0
Andhra Pradesh,Aruku ,Palakonda (ST),3736,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,BJP,1753.0
Andhra Pradesh,Aruku ,Palakonda (ST),3736,GODDETI. MADHAVI,YSRCP,69588.0
Andhra Pradesh,Aruku ,Palakonda (ST),3736,SHRUTI DEVI VYRICHERLA,INC,1327.0
Andhra Pradesh,Aruku ,Palakonda (ST),3736,GANGULAIAH VAMPURU.,JnP,2987.0
Andhra Pradesh,Aruku ,Palakonda (ST),3736,SWAMULA. SUBRAHMANYAM,JAJGP,203.0
Andhra Pradesh,Aruku ,Palakonda (ST),3736,ANUMULA VAMSIKRISHNA,IND,568.0
Andhra Pradesh,Aruku ,Palakonda (ST),3736,KANGALA BALUDORA,IND,418.0
Andhra Pradesh,Aruku ,Palakonda (ST),3736,NARAVA SATYAVATHI,IND,743.0
Andhra Pradesh,Aruku ,Palakonda (ST),3736,BIDDIKA RAMAYYA.,IND,636.0
Andhra Pradesh,Aruku ,Kurupam (ST),4383,KISHORE CHANDRA DEO,TDP,51399.0
Andhra Pradesh,Aruku ,Kurupam (ST),4383,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,BJP,3273.0
Andhra Pradesh,Aruku ,Kurupam (ST),4383,GODDETI. MADHAVI,YSRCP,71694.0
Andhra Pradesh,Aruku ,Kurupam (ST),4383,SHRUTI DEVI VYRICHERLA,INC,1954.0
Andhra Pradesh,Aruku ,Kurupam (ST),4383,GANGULAIAH VAMPURU.,JnP,5391.0
Andhra Pradesh,Aruku ,Kurupam (ST),4383,SWAMULA. SUBRAHMANYAM,JAJGP,469.0
Andhra Pradesh,Aruku ,Kurupam (ST),4383,ANUMULA VAMSIKRISHNA,IND,1082.0
Andhra Pradesh,Aruku ,Kurupam (ST),4383,KANGALA BALUDORA,IND,886.0
Andhra Pradesh,Aruku ,Kurupam (ST),4383,NARAVA SATYAVATHI,IND,1127.0
Andhra Pradesh,Aruku ,Kurupam (ST),4383,BIDDIKA RAMAYYA.,IND,793.0
Andhra Pradesh,Aruku ,Parvathipuram (SC),3982,KISHORE CHANDRA DEO,TDP,57159.0
Andhra Pradesh,Aruku ,Parvathipuram (SC),3982,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,BJP,1474.0
