state_name,assembly_constituency_number,assembly_ constituency_name,candidate_name,sex,age,category,party_name,party_symbol,general_votes,postal_votes,secured_votes,percentage_votes_polled,total_voters
Maharashtra,1,Akkalkuwa ,1 ADV. K. C. PADAVI,MALE,61.0,ST,INC,Hand,82509,261.0,82770,41.25545786,278888.0
Maharashtra,1,Akkalkuwa ,2 AAMSHYA FULJI PADAVI,MALE,51.0,ST,SHS,Bow and Arrow,80532,142.0,80674,40.21073828,278888.0
Maharashtra,1,Akkalkuwa ,3 NAGESH DILVARSING PADVI,MALE,44.0,ST,IND,Gas Stove,21583,81.0,21664,10.79809398,278888.0
Maharashtra,1,Akkalkuwa ,5 ADV. KAILAS PRATAPSING VASAVE,MALE,28.0,ST,AAAP,Broom,4034,21.0,4055,2.021153578,278888.0
Maharashtra,1,Akkalkuwa ,6 BHARAT JALYA PAWARA,MALE,27.0,ST,IND,Cot,3782,2.0,3784,1.886077716,278888.0
Maharashtra,1,Akkalkuwa ,7 DR.SANJAY RAVLYA VALVI,MALE,27.0,ST,BTP,Auto- Rickshaw,2808,16.0,2824,1.407580198,278888.0
Maharashtra,2,Shahada ,1 Rajesh Udesing Padvi,MALE,50.0,ST,BJP,Lotus,94405,526.0,94931,45.12079775,320555.0
Maharashtra,2,Shahada ,2 Adv.Padmakar Vijaysing Valvi,MALE,51.0,ST,INC,Hand,86510,430.0,86940,41.32266758,320555.0
Maharashtra,2,Shahada ,3 Eng.Jelsing Bijala Pawara,MALE,59.0,ST,IND,Cup & Saucer,20853,160.0,21013,9.987499584,320555.0
Maharashtra,2,Shahada ,4 Mali Jaysing Devchand,MALE,66.0,ST,CPIM,"Hammer, Sickle and Star",4052,8.0,4060,1.929721996,320555.0
Maharashtra,3,Nandurbar ,1 VIJAYKUMAR KRUSHNARAO GAVIT,MALE,64.0,ST,BJP,Lotus,120825,780.0,121605,64.51570118,339098.0
Maharashtra,3,Nandurbar ,2 UDESING KOCHARU PADVI,MALE,71.0,ST,INC,Hand,50955,254.0,51209,27.16816366,339098.0
Maharashtra,3,Nandurbar ,3 DIPA SHAMSHON VALVI,FEMALE,33.0,ST,VBA,Gas Cylinder,6683,51.0,6734,3.572622275,339098.0
Maharashtra,3,Nandurbar ,5 ANANDA SUKALAL KOLI,MALE,52.0,ST,IND,Cup & Saucer,2040,7.0,2047,1.086005019,339098.0
Maharashtra,3,Nandurbar ,6 VIPUL RAMSING VASAVE,MALE,25.0,ST,BSP,Elephant,1921,4.0,1925,1.021279756,339098.0
Maharashtra,3,Nandurbar ,7 Adv.PRAKASH MOHAN GANGURDE,MALE,31.0,ST,SWP,Bat,1437,11.0,1448,0.768214591,339098.0
Maharashtra,4,Nawapur ,1 Naik Shirishkumar Surupsing,MALE,47.0,ST,INC,Hand,74395,257.0,74652,34.29705554,287977.0
Maharashtra,4,Nawapur ,2 Sharad Krushnarao Gavit,MALE,56.0,ST,IND,Cup & Saucer,63240,77.0,63317,29.08946399,287977.0
Maharashtra,4,Nawapur ,3 Gavit Bharat Manikrao,MALE,48.0,ST,BJP,Lotus,58342,237.0,58579,26.9127045,287977.0
Maharashtra,4,Nawapur ,4 Dr. Ulhas Jayant Vasave,MALE,45.0,ST,BTP,Auto- Rickshaw,5969,40.0,6009,2.76068969,287977.0
Maharashtra,4,Nawapur ,5 Jagan Hurji Gavit,MALE,49.0,ST,VBA,Gas Cylinder,5458,4.0,5462,2.509383772,287977.0
Maharashtra,4,Nawapur ,7 Dr. Rakesh Rajya Gavit,MALE,41.0,ST,IND,Air Conditioner,1286,0.0,1286,0.590821591,287977.0
Maharashtra,4,Nawapur ,8 Adv. Prakash Mohan Gangurde,MALE,31.0,ST,IND,Bat,1141,13.0,1154,0.530177384,287977.0
Maharashtra,4,Nawapur ,9 Arjunsing Diwansing Vasave,MALE,54.0,ST,IND,Road Roller,1038,1.0,1039,0.477343416,287977.0
Maharashtra,4,Nawapur ,10 Ramu Maharya Valvi,MALE,49.0,ST,PPID,Black Board,735,3.0,738,0.339056248,287977.0
Maharashtra,4,Nawapur ,11 Dr. Sunil Kuthya Gavit,MALE,41.0,ST,AAAP,Broom,475,2.0,477,0.219146111,287977.0
Maharashtra,5,Sakri ,1 Manjula Tulshiram Gavit,FEMALE,56.0,ST,IND,Telephone,75738,428.0,76166,36.60102452,342992.0
Maharashtra,5,Sakri ,2 Mohan Gokul Suryawanshi,MALE,55.0,ST,BJP,Lotus,68498,403.0,68901,33.10988092,342992.0
Maharashtra,5,Sakri ,3 Dhanaji Sitaram Ahire,MALE,66.0,ST,INC,Hand,25187,115.0,25302,12.15869446,342992.0
Maharashtra,5,Sakri ,4 Yashwant Devman Malache,MALE,49.0,ST,VBA,Gas Cylinder,14006,26.0,14032,6.742976867,342992.0
Maharashtra,5,Sakri ,5 Rajkumar Pandit Sonawane,MALE,50.0,ST,IND,Whistle,9055,3.0,9058,4.352756874,342992.0
Maharashtra,5,Sakri ,7 Nandu Rajaram Malache,MALE,43.0,ST,BTP,Auto- Rickshaw,3742,1.0,3743,1.79867178,342992.0
Maharashtra,5,Sakri ,8 Hiraman Deva Sabale,MALE,60.0,ST,IND,Cup & Saucer,2865,7.0,2872,1.380118982,342992.0
Maharashtra,5,Sakri ,9 Rangnath Rama Bhavare,MALE,56.0,ST,BSP,Elephant,2274,2.0,2276,1.093715461,342992.0
Maharashtra,5,Sakri ,10 Chaure Sandip Shantaraam,MALE,34.0,ST,IND,Tractor Chalata Kissan,1598,3.0,1601,0.769349057,342992.0
Maharashtra,6,Dhule Rural,1 Kunalbaba Rohidas Patil,MALE,45.0,GENERAL,INC,Hand,124610,965.0,125575,51.18261075,372989.0
Maharashtra,6,Dhule Rural,2 Maisaheb Dnyanjyoti Manohar Patil,FEMALE,49.0,GENERAL,BJP,Lotus,110555,456.0,111011,45.24652839,372989.0
Maharashtra,6,Dhule Rural,3 Rajdip Bhatu Agale,MALE,44.0,SC,VBA,Gas Cylinder,4199,17.0,4216,1.718382536,372989.0
Maharashtra,6,Dhule Rural,5 Baisane Nandu Sukdeo,MALE,36.0,SC,BSP,Elephant,1468,3.0,1471,0.599558992,372989.0
Maharashtra,6,Dhule Rural,6 Dr. Bhupesh Prakash Patil,MALE,36.0,GENERAL,IND,Tractor Chalata Kissan,826,0.0,826,0.336666028,372989.0
Maharashtra,7,Dhule City,1 Shah Faruk Anwar,MALE,45.0,GENERAL,AIMIM,Kite,46597,82.0,46679,28.93171028,322026.0
Maharashtra,7,Dhule City,2 Rajwardhan Raghujirao Kadambande (Rajubaba),MALE,59.0,GENERAL,IND,Balloon,42973,399.0,43372,26.882027,322026.0
Maharashtra,7,Dhule City,3 Anil Anna Gote,MALE,71.0,GENERAL,LKSGM,Whistle,42056,376.0,42432,26.29941367,322026.0
Maharashtra,7,Dhule City,4 Hilal Lala Mali,MALE,48.0,GENERAL,SHS,Bow and Arrow,22267,160.0,22427,13.90028635,322026.0
Maharashtra,7,Dhule City,6 Ravindra Suresh Damodar,MALE,30.0,SC,BSP,Elephant,1256,8.0,1264,0.783428989,322026.0
Maharashtra,7,Dhule City,7 Mayur Devidas Ahirrao,MALE,32.0,GENERAL,IND,Winnower,1033,1.0,1034,0.640874664,322026.0
Maharashtra,7,Dhule City,8 Gorakh Babanlal Sharma,MALE,44.0,GENERAL,IND,Key,897,0.0,897,0.55596187,322026.0
Maharashtra,7,Dhule City,9 Mansuri Asif Inayat,MALE,37.0,GENERAL,SP,Bicycle,798,2.0,800,0.495841133,322026.0
Maharashtra,7,Dhule City,10 Kulkarni Prachi Girish,FEMALE,48.0,GENERAL,MNS,Railway Engine,694,6.0,700,0.433860991,322026.0
Maharashtra,7,Dhule City,11 Hemlata Sunil Sonawane,FEMALE,40.0,ST,IND,Walking Stick,366,0.0,366,0.226847318,322026.0
Maharashtra,8,Shindkheda,1 Jaykumar Jitendrasinh Rawal,MALE,45.0,GENERAL,BJP,Lotus,113042,767.0,113809,56.74334889,327082.0
Maharashtra,8,Shindkheda,2 Bedse Sandeep Tryambakrao,MALE,49.0,GENERAL,NCP,Clock,70512,382.0,70894,35.34661561,327082.0
Maharashtra,8,Shindkheda,3 Shanabhau Rambhau Sonawane,MALE,48.0,GENERAL,IND,Whistle,9346,12.0,9358,4.665749272,327082.0
Maharashtra,8,Shindkheda,4 Namdeo Rohidas Yelave,MALE,48.0,ST,VBA,Gas Cylinder,2014,11.0,2025,1.009632643,327082.0
Maharashtra,8,Shindkheda,6 Narendra Dharma Patil (Salunkhe),MALE,38.0,GENERAL,MNS,Railway Engine,1178,7.0,1185,0.590822065,327082.0
